OBJECTID,Shape,radicado,fecha,hora,dia,periodo,clase,direccion,direccion_enc,cbml,tipo_geocod,gravedad,barrio,comuna,diseno,dia_nombre,mes,mes_nombre,longitud,latitud,x_origen_nacional,y_origen_nacional
41,"(4710037.548100001, 2252386.128900001)",1588158,2017-07-03 00:00:00,05:20 AM,03,2017,Otro,CL 64 CR 115,CL  064   115  000 00000,6098,Malla vial aproximada: CL 63-115,HERIDO,Área de Expansión Pajarito,Corregimiento de San Cristóbal,Tramo de via,LUNES    ,07,,-75.62158371,6.27757548,4710037.5481,2252386.1289
42,"(4715569.315200001, 2249732.390300004)",1591543,2017-07-28 00:00:00,02:15 PM,28,2017,Otro,CR 55 CL 52 A,CR  055   052 A  000 00000,1006,Malla vial cruce invertido,HERIDO,San Benito,La Candelaria,Interseccion,VIERNES  ,07,,-75.57148738,6.25383188,4715569.3152,2249732.3903
43,"(4716476.8216, 2252609.6669999994)",1578597,2017-04-18 00:00:00,01:50 PM,18,2017,Otro,CR 52 CL 87,CR  052   087  000 00000,0413,Malla vial,HERIDO,Aranjuez,Aranjuez,Tramo de via,MARTES   ,04,,-75.56341541,6.27988466,4716476.8216,2252609.667
44,"(4712021.407500001, 2247331.701700002)",1590967,2017-07-24 00:00:00,02:30 PM,24,2017,Choque,CL 30 A CR 82,CL  030 A   082  000 00000,1603,Malla vial,HERIDO,Belén,Belén,Tramo de via,LUNES    ,07,,-75.6034338,6.23197066,4712021.4075,2247331.7017
45,"(4714013.4837, 2244943.5076)",1582631,2017-05-19 00:00:00,02:30 PM,19,2017,Caida Ocupante,CL 3 CR 54,CL  003   054  000 00000,1507,Malla vial,HERIDO,Campo Amor,Guayabal,Tramo de via,VIERNES  ,05,,-75.58533161,6.21046855,4714013.4837,2244943.5076
46,"(4711151.323800001, 2249758.2706000004)",1577083,2017-04-01 00:00:00,05:51 PM,01,2017,Choque,CR 94 CL 43,CR  094   043  000 00000,1208,Malla vial,SOLO DAÑOS,Campo Alegre,La América,Tramo de via,SÁBADO   ,04,,-75.61140287,6.25386893,4711151.3238,2249758.2706
47,"(4716389.7478, 2249089.4256000016)",1580601,2017-05-03 00:00:00,12:30 PM,03,2017,Choque,CR 45 CL 50,CR  045   050  000 00000,1019,Malla vial,SOLO DAÑOS,La Candelaria,La Candelaria,Tramo de via,MIÉRCOLES,05,,-75.56404672,6.24805524,4716389.7478,2249089.4256
48,"(4719644.5245, 2247045.085000001)",1578643,2017-04-12 00:00:00,02:40 PM,12,2017,Choque,CL 48 CR 4,CL  048   004  000 00000,0902,Malla vial,SOLO DAÑOS,Barrio de Jesús,Buenos Aires,Tramo de via,MIÉRCOLES,04,,-75.53455194,6.22971505,4719644.5245,2247045.085
49,"(4716680.3296, 2254057.9262000024)",1584165,2017-05-30 00:00:00,06:40 PM,30,2017,Atropello,CR 52 CL 100,CR  052   100  000 00000,0210,Malla vial,HERIDO,Santa Cruz,Santa Cruz,Tramo de via,MARTES   ,05,,-75.56164078,6.29298701,4716680.3296,2254057.9262
50,"(4717707.419, 2252986.832800001)",1586292,2017-06-16 00:00:00,05:40 PM,16,2017,Otro,CR 44 CL 92,CR  044   092  000 00000,0301,Malla vial aproximada: CR 45-92,HERIDO,La Salle,Manrique,Tramo de via,VIERNES  ,06,,-75.55231335,6.28334891,4717707.419,2252986.8328
